pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
pos_current: [116.38515164698327, 39.904517496091, 0], speed: 0.00, wheel_angle: 0.0, steering_wheel_angle: 0
